fips,state,county,premature_death,diabetes_pct,uninsured_pct,median_income,pct_college,pct_unemployed,adult_smoking,adult_obesity
01001,AL,Autauga County,9938.2633823,11.3,8.190360720000001,68857,61.378732189999994,2.18888889,15.4,38.4
01003,AL,Baldwin County,8957.1126859,10.2,10.21234205,74248,64.84787528,2.27949698,14.7,36.8
01005,AL,Barbour County,12738.656137,16,12.117041650000001,45298,44.07743125,4.43101712,21.9,43.8
01007,AL,Bibb County,11708.948038,13.3,10.83579882,56025,43.533225279999996,2.4623803,21.8,41.4
01009,AL,Blount County,11898.088409,11.600000000000001,12.515582149999998,64962,52.627112649999994,2.14429478,19.5,37.3
01011,AL,Bullock County,15998.089209,19.900000000000002,11.40909091,36204,36.31386861,2.37777778,24.9,49.4
01013,AL,Butler County,14616.39262,14.799999999999999,10.38040427,44729,41.57664905,2.9193029200000002,20.4,45.5
01015,AL,Calhoun County,14259.564795,12.7,11.83334269,51841,54.149051400000005,2.81949934,18,38.3
01017,AL,Chambers County,12568.860637,14.6,12.738072429999999,50390,52.51649157,2.38446411,20.9,45.4
01019,AL,Cherokee County,12680.903028,11.3,13.25415178,56400,50.10112153,2.3958157599999996,17.599999999999998,40.2
01021,AL,Chilton County,11802.63262,11.600000000000001,13.181745480000002,59165,46.12614195,2.19287439,15.5,36.3
01023,AL,Choctaw County,12977.181714,15.1,11.16294207,47432,47.62100082,4.0037905700000005,20.8,45.800000000000004
01025,AL,Clarke County,16382.035791,14.899999999999999,11.48128868,50868,41.39002136,4.99275458,20.5,44.4
01027,AL,Clay County,13312.804786,13.100000000000001,10.55630936,52077,51.806509410000004,2.3549200999999997,21.5,39.6
01029,AL,Cleburne County,12586.014576,12.2,12.38729591,59526,50.549450549999996,2.272361,20.8,39.4
01031,AL,Coffee County,10338.895023,11.799999999999999,11.5180798,64737,61.43234937,2.50677196,14.6,34.1
01033,AL,Colbert County,12369.517136,12,10.688737680000001,57770,58.02328073,2.94227652,18.8,40.9
01035,AL,Conecuh County,18927.733282,15.5,10.57656996,46702,38.04582793,3.5454331999999997,19.8,44.7
01037,AL,Coosa County,14409.561567,13.200000000000001,9.49401523,59736,40.18464529,2.55001099,20.3,42.8
01039,AL,Covington County,14664.189369,11.700000000000001,11.03448276,50119,50.71758985,2.74341044,18.9,44.6
01041,AL,Crenshaw County,13951.809024,12.9,13.140311800000001,49128,47.7896852,2.66233766,20,40.300000000000004
01043,AL,Cullman County,11852.911745,11.600000000000001,11.64789446,61231,59.27217659,2.041586,18.6,39.7
01045,AL,Dale County,11939.042155,13.5,10.49121135,54697,58.69128554,2.53325785,18.5,44.3
01047,AL,Dallas County,20426.822143,17.5,9.73662639,39013,57.383665719999996,5.4221762600000005,19.7,50.5
01049,AL,DeKalb County,11969.446607,13.8,15.198621249999999,50614,50.092603309999994,2.27067475,22.5,38.9
01051,AL,Elmore County,9508.1160841,11.4,8.99437942,73125,53.256385679999994,2.12986475,15.8,36.4
01053,AL,Escambia County,15044.632371,15,12.41663326,50333,36.83420855,3.1163434899999998,21.7,43.5
01055,AL,Etowah County,14706.297419,12.6,11.2525627,52504,52.98256966,2.79482627,18.8,41.3
